,eps,n_samples,silhouette_score
0,76,4,0.09794231870216033
0,91,6,0.09780612207319021
0,90,6,0.09766291559927398
0,17,2,0.09637380339252392
0,32,6,0.09611554585482714
0,77,4,0.09523584122801321
0,53,9,0.09338210604506025
0,80,13,0.09272715796598682
0,45,8,0.09046955619530805
0,99,10,0.09019192400653947
0,64,11,0.09011838172556005
0,61,10,0.08959916149134434
0,89,6,0.0883453972596971
0,85,14,0.08759003707554623
0,63,11,0.08612933910229621
0,81,13,0.08532143821957498
0,75,12,0.0845008690265795
0,87,14,0.0844831044219797
0,44,8,0.08191828188079654
0,89,7,0.08183909852626968
0,60,4,0.08131735874129215
0,49,4,0.08110464866427557
0,27,5,0.0809695338507248
0,58,10,0.08019676472031907
0,48,4,0.08000249455456022
0,74,12,0.07983923312759653
0,89,8,0.07976458625844877
0,88,8,0.0792431051214434
0,84,14,0.07870446129077094
0,22,3,0.07820398447738965
0,51,4,0.07636361420363155
0,72,6,0.07635712252432503
0,86,14,0.07619445697807205
0,79,13,0.07617193688913988
0,73,12,0.07549856493539822
0,4,1,0.0754706568626908
0,83,14,0.07489386859853431
0,54,4,0.07477882835167621
0,74,4,0.0744959434444852
0,75,4,0.0744959434444852
0,53,4,0.07442578771510448
0,57,10,0.07350520296020058
0,52,4,0.07322386299573945
0,52,9,0.07250485416514252
0,37,7,0.07071419064466593
0,72,12,0.0699744665309245
0,26,5,0.06880571386906202
0,62,11,0.06798891818431156
0,50,4,0.06513270189547962
0,16,2,0.06489291750458841
0,56,4,0.06450594320830433
0,59,4,0.06299589839907123
0,80,6,0.06253050251471852
0,76,5,0.06082404373020831
0,79,6,0.06078810835274162
0,56,10,0.06043700148973781
0,81,5,0.060190299188791874
0,57,4,0.060138584184558565
0,80,5,0.059072484617000966
0,79,5,0.05855807414742782
0,77,13,0.058524766049022174
0,98,5,0.05801105016106492
0,99,5,0.05801105016106492
0,97,16,0.05771531453515016
0,43,8,0.05758560774958695
0,55,4,0.05730766791607854
0,89,15,0.0572722234236818
0,77,5,0.05649792561517435
0,61,11,0.05458916669751623
0,82,6,0.05406361183099999
0,83,6,0.05406361183099999
0,21,3,0.0537327746726067
0,21,4,0.05338474245121148
0,76,6,0.05311433254791487
0,81,6,0.0508542179023858
0,78,13,0.04932723258301196
0,31,6,0.04859385768313387
0,97,5,0.048428716986183895
0,77,6,0.048380755389884664
0,78,6,0.048380755389884664
0,51,9,0.048320025375400186
0,84,6,0.04658911381628461
0,42,8,0.046125537555929706
0,78,5,0.043590432263227945
0,72,4,0.0432223770416309
0,73,4,0.0432223770416309
0,3,1,0.04220112646992133
0,75,5,0.0417289784974637
0,74,5,0.0417289784974637
0,76,13,0.041612614129012605
0,75,6,0.04117464242167091
0,25,5,0.04066576536875239
0,96,16,0.040552616215516216
0,73,5,0.04017399901764378
0,72,5,0.04017399901764378
0,74,6,0.03893100674431544
0,73,6,0.03837454163525716
0,71,12,0.03696455639104854
0,58,4,0.03579640967282525
0,71,4,0.031794284763296266
0,68,4,0.02985676450450842
0,69,4,0.02985676450450842
0,70,12,0.028922207769552274
0,70,4,0.02877872508853618
0,20,3,0.02842895203158713
0,63,4,0.02775337733760763
0,66,4,0.027318094571883986
0,93,16,0.027225140716175083
0,95,16,0.02687386489430946
0,82,14,0.02665101771935226
0,71,6,0.026219042133897332
0,65,4,0.026153531834039023
0,36,7,0.026047031415355835
0,97,6,0.02589988918547013
0,67,4,0.025833452903452802
0,94,16,0.02561964411148627
0,88,7,0.02529530363683136
0,60,11,0.025232768914386097
0,71,5,0.024926569432512192
0,62,4,0.023823232708100783
0,50,9,0.022933075183637346
0,64,4,0.021447474136661027
0,2,1,0.02120178940407571
0,61,4,0.020781218293659857
0,70,6,0.018735274892395976
0,69,12,0.018502604484557202
0,98,6,0.016390289674447635
0,99,6,0.016390289674447635
0,49,9,0.0156715828673111
0,81,14,0.013563255757171397
0,63,5,0.01152653826819997
0,98,17,0.01147778755714261
0,55,10,0.01024796759830276
0,41,8,0.009935057733227063
0,1,1,0.008100955879402811
0,88,15,0.007182987612270099
0,67,12,0.005881572563677863
0,30,6,0.005549800466356267
0,99,17,0.004874080631370863
0,67,5,0.004413290899860587
0,87,15,0.0030053536409983066
0,24,5,0.0025041797212776245
0,66,5,0.0009139504761597274
0,92,16,0.0007365475145953614
0,15,2,0.000573402421995768
0,75,13,7.383749046947464e-05
0,19,3,-0.0013486858898016099
0,64,5,-0.001999690154287991
0,40,8,-0.0021032183509848874
0,65,5,-0.002163470906536808
0,68,12,-0.002448338259581117
0,97,17,-0.003837948019012751
0,29,6,-0.005330909965203809
0,70,5,-0.007409494602255379
0,54,10,-0.008052549330441701
0,80,14,-0.00858673474124556
0,69,5,-0.010824937689283226
0,48,9,-0.011173081990498912
0,68,5,-0.011993893285421905
0,79,14,-0.012307733260950757
0,66,12,-0.013229464842337568
0,86,15,-0.01914455702212239
0,39,8,-0.019152768486237818
0,78,14,-0.020557785808571986
0,47,9,-0.02226077020116191
0,35,7,-0.0231351474882421
0,77,14,-0.024054133661065128
0,20,4,-0.024584483297215375
0,85,15,-0.025568086694534073
0,59,11,-0.027433825724802244
0,96,17,-0.02820490472377453
0,74,13,-0.030696064518047142
0,76,14,-0.031743855078617135
0,65,12,-0.03374159217365201
0,83,15,-0.035364681661253936
0,46,9,-0.03588855205290146
0,94,17,-0.03716832340452213
0,82,15,-0.037481963243225426
0,38,8,-0.03942512347954721
0,73,13,-0.039627994110385784
0,91,16,-0.043709168616322264
0,95,17,-0.045688124821290296
0,72,13,-0.045995431539805905
0,58,11,-0.04647357353177576
0,81,15,-0.04657474753103864
0,53,10,-0.047786663583167625
0,18,3,-0.049804396943293534
0,34,7,-0.05011454486384196
0,90,16,-0.05052488431024451
0,28,6,-0.05080029045074898
0,75,14,-0.05113922593952709
0,80,15,-0.05597457140321227
0,14,2,-0.05604210859374821
0,79,15,-0.05689663218900741
0,89,16,-0.057030345459951115
0,23,5,-0.05822958398401321
0,57,11,-0.05935047040345599
0,45,9,-0.06100777012785086
0,84,15,-0.061425955652351996
0,19,4,-0.06246823065234715
0,64,12,-0.0655938469048873
0,99,18,-0.07299997934987357
0,71,13,-0.07395625134115462
0,74,14,-0.07451153283848161
0,88,16,-0.07506351413539046
0,70,13,-0.07523733651050211
0,73,14,-0.07633887865000573
0,87,16,-0.07706215428009748
0,69,13,-0.07779555003003846
0,93,17,-0.07827320943265335
0,52,10,-0.07999211658719375
0,27,6,-0.08102781816923321
0,51,10,-0.08126792057348299
0,33,7,-0.08198429805326253
0,86,16,-0.08220239531244447
0,37,8,-0.0861554618461528
0,85,16,-0.08756000628042956
0,68,13,-0.0882350123723895
0,98,18,-0.08863582692354698
0,63,12,-0.0893877265088267
0,62,12,-0.08944149805258178
0,67,13,-0.08980361114627822
0,17,3,-0.09419276887326929
0,50,10,-0.09666242956272367
0,44,9,-0.09811946661553968
0,26,6,-0.10009250900845461
0,95,25,-0.10116508937580268
